action_template_id,subject_class,context_class,Категория,action_category,action
1,Address,Company,Клиент. Организация,сustomer,создал новый адрес
3,Comment,Deal,Сделка,deal,создал новый комментарий в сделке
4,Company,Company,Клиент. Организация,сustomer,создал компанию
6,Contact,Company,Клиент. Сотрудник,contact,создал новый контакт
7,Contact,Company,Клиент. Сотрудник,contact,удалил контакт
9,Deal,Deal,Сделка,deal,создал новую сделку
12,Deal,Deal,Сделка,deal,выиграл сделку
13,Deal,Deal,Сделка,deal,проиграл сделку
14,Deal,Deal,Сделка,deal,изменил этап сделки
17,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
18,DealActualStagePoint,Deal,Сделка,deal,снял выбор с пункта чек-листа
19,DealProduct,Deal,Сделка,deal,добавил товар в сделку
20,DealProduct,Deal,Сделка,deal,изменил количество товара в сделке
22,DealProduct,Deal,Сделка,deal,изменил скидку на товар
23,DealProduct,Deal,Сделка,deal,удалил товар из сделки
24,Event,Event,Календарь,calendar,Создано новое событие календаря
33,ProductPts,Company,Парк техники,fleet,создал новую запись о парке техники
40,CompanyPotential,Company,Клиент. Организация,сustomer,изменил потенциал продаж
48,Deal,Deal,Сделка,deal,"выбрал статус ""Контракт подписан"" в сделке"
49,Deal,Deal,Сделка,deal,"отменил статус ""Контракт подписан"" в сделке"
50,Event,Event,Календарь,calendar,Завершено событие календаря
64,Address,Company,Клиент. Организация,сustomer,изменил основной адрес.
65,Company,Company,Клиент. Организация,сustomer,изменил наименование компании.
66,Company,Company,Клиент. Организация,сustomer,изменил электронную почту компании
69,ModelPropertyValue,Company,Клиент. Организация,сustomer,изменил данные в дополнительных полях
71,Contact,Contact,Клиент. Сотрудник,contact,изменил данные контакта
72,CompanyEntity,CompanyEntity,Клиент. Организация,сustomer,создал нового контрагента
74,CompanyEntity,CompanyEntity,Клиент. Организация,сustomer,изменил данные контрагента
83,Deal,Deal,Сделка,deal,отложил сделку
84,Deal,Deal,Сделка,deal,активировал сделку
85,Deal,Deal,Сделка,deal,"изменил значение в поле ""Дата контрактации"""
87,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
88,Comment,Deal,Сделка,deal,создал новый комментарий в сделке